,full_name,stargazers_count,language,description,created_at
0,AUTOMATIC1111/stable-diffusion-webui,34813,Python,Stable Diffusion web UI,2022-08-22
1,invoke-ai/InvokeAI,10835,Jupyter Notebook,"InvokeAI is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, supports terminal use through a CLI, and serves as the foundation for multiple commercial products.",2022-08-17
2,acheong08/ChatGPT,17477,Python,Reverse engineered ChatGPT API,2022-12-03
3,toeverything/AFFiNE,12904,TypeScript," There can be more than Notion and Miro. AFFiNE is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31
4,LAION-AI/Open-Assistant,16269,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
5,t3-oss/create-t3-app,14462,TypeScript,"The best way to start a full-stack, typesafe Next.js app ",2022-05-24
6,huggingface/diffusers,10497,Python,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,2022-05-30
7,Grasscutters/Grasscutter,12553,Java,A server software reimplementation for a certain anime game.,2022-04-17
8,openai/openai-cookbook,13084,Jupyter Notebook,Examples and guides for using the OpenAI API,2022-03-11
9,android/nowinandroid,10027,Kotlin,A fully functional Android app built entirely with Kotlin and Jetpack Compose,2022-04-19
10,terrastruct/d2,10920,Go,D2 is a modern diagram scripting language that turns text to diagrams.,2022-09-05
11,fathyb/carbonyl,11047,Rust,Chromium running inside your terminal,2023-01-20
12,pocketbase/pocketbase,21189,Go,Open Source realtime backend in 1 file,2022-07-05
13,CodeEditApp/CodeEdit,16835,Swift,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2022-03-10
14,f/awesome-chatgpt-prompts,28415,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
15,tw93/Pake,11159,Rust,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 很简单的用 Rust 打包网页生成很小的桌面 App,2022-10-14
16,karpathy/nanoGPT,13328,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
17,Stability-AI/stablediffusion,11548,Python,High-Resolution Image Synthesis with Latent Diffusion Models,2022-11-23
18,karanpratapsingh/system-design,14716,,Learn how to design systems at scale and prepare for system design interviews,2022-08-15
19,lensterxyz/lenster,15205,TypeScript,"Lenster is a decentralized, and permissionless social media app built with Lens Protocol 🌿 ",2022-03-19
20,lencx/ChatGPT,15762,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
21,CompVis/stable-diffusion,41889,Jupyter Notebook,A latent text-to-image diffusion model,2022-08-10
22,openai/whisper,24281,Jupyter Notebook,Robust Speech Recognition via Large-Scale Weak Supervision,2022-09-16
23,bloomberg/memray,10120,Python,Memray is a memory profiler for Python,2022-04-08
24,pyscript/pyscript,15455,Python,Home Page: https://pyscript.net  Examples: https://pyscript.net/examples,2022-02-21
25,wong2/chatgpt-google-extension,10561,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
26,google-research/tuning_playbook,15978,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
27,charmbracelet/gum,12221,Go,A tool for glamorous shell scripts 🎀,2022-06-10
28,NVIDIA/open-gpu-kernel-modules,12900,C,NVIDIA Linux open GPU kernel module source,2022-05-02
29,atelier-anchor/smiley-sans,10172,HTML,得意黑 Smiley Sans：一款在人文观感和几何特征中寻找平衡的中文黑体,2022-11-11
30,The-Run-Philosophy-Organization/run,25206,,润学全球官方指定GITHUB，整理润学宗旨、纲领、理论和各类润之实例；解决为什么润，润去哪里，怎么润三大问题； 并成为新中国人的核心宗教，核心信念。,2022-04-10
31,sismo-core/sismo-protocol,16111,TypeScript,Contracts of the Sismo Attestation Protocol ,2022-06-16
32,WeNeedHome/SummaryOfLoanSuspension,20305,HTML,全国各省市停贷通知汇总,2022-07-12
33,geekan/HowToLiveLonger,21497,,程序员延寿指南 | A programmer's guide to live longer,2022-04-16
